
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [17/150] | Validation | acc_top1 = 29.83584 | acc_top5 = 83.56409 | loss = 2.17258

========================================

Epoch [18/150] | Train iter [20/391] | acc_top1 = 26.56250 | acc_top5 = 82.03125 | loss = 2.16567
Epoch [18/150] | Train iter [70/391] | acc_top1 = 28.90625 | acc_top5 = 82.81250 | loss = 2.16093
Epoch [18/150] | Train iter [120/391] | acc_top1 = 34.37500 | acc_top5 = 78.12500 | loss = 2.15911
Epoch [18/150] | Train iter [170/391] | acc_top1 = 32.03125 | acc_top5 = 81.25000 | loss = 2.15952
Epoch [18/150] | Train iter [220/391] | acc_top1 = 35.15625 | acc_top5 = 81.25000 | loss = 2.15779
Epoch [18/150] | Train iter [270/391] | acc_top1 = 36.71875 | acc_top5 = 84.37500 | loss = 2.15637
Epoch [18/150] | Train iter [320/391] | acc_top1 = 26.56250 | acc_top5 = 79.68750 | loss = 2.15566
Epoch [18/150] | Train iter [370/391] | acc_top1 = 25.78125 | acc_top5 = 81.25000 | loss = 2.15503
Epoch [18/150] | Train iter [391/391] | acc_top1 = 31.25000 | acc_top5 = 81.25000 | loss = 2.15463

Epoch [18/150] | Validation | acc_top1 = 31.87302 | acc_top5 = 84.37500 | loss = 2.16111

========================================

Epoch [19/150] | Train iter [20/391] | acc_top1 = 27.34375 | acc_top5 = 72.65625 | loss = 2.15631
Epoch [19/150] | Train iter [70/391] | acc_top1 = 35.15625 | acc_top5 = 83.59375 | loss = 2.15126
Epoch [19/150] | Train iter [120/391] | acc_top1 = 35.93750 | acc_top5 = 90.62500 | loss = 2.14942
Epoch [19/150] | Train iter [170/391] | acc_top1 = 32.03125 | acc_top5 = 81.25000 | loss = 2.14769
Epoch [19/150] | Train iter [220/391] | acc_top1 = 39.06250 | acc_top5 = 90.62500 | loss = 2.14642
Epoch [19/150] | Train iter [270/391] | acc_top1 = 29.68750 | acc_top5 = 80.46875 | loss = 2.14579
Epoch [19/150] | Train iter [320/391] | acc_top1 = 35.15625 | acc_top5 = 84.37500 | loss = 2.14450
Epoch [19/150] | Train iter [370/391] | acc_top1 = 34.37500 | acc_top5 = 78.12500 | loss = 2.14375
Epoch [19/150] | Train iter [391/391] | acc_top1 = 35.00000 | acc_top5 = 80.00000 | loss = 2.14321

Epoch [19/150] | Validation | acc_top1 = 34.83979 | acc_top5 = 84.81013 | loss = 2.14874

========================================

Epoch [20/150] | Train iter [20/391] | acc_top1 = 33.59375 | acc_top5 = 82.03125 | loss = 2.14160
Epoch [20/150] | Train iter [70/391] | acc_top1 = 30.46875 | acc_top5 = 81.25000 | loss = 2.13767
Epoch [20/150] | Train iter [120/391] | acc_top1 = 32.81250 | acc_top5 = 75.00000 | loss = 2.13643
Epoch [20/150] | Train iter [170/391] | acc_top1 = 31.25000 | acc_top5 = 78.90625 | loss = 2.13452
Epoch [20/150] | Train iter [220/391] | acc_top1 = 34.37500 | acc_top5 = 86.71875 | loss = 2.13534
Epoch [20/150] | Train iter [270/391] | acc_top1 = 29.68750 | acc_top5 = 82.03125 | loss = 2.13413
Epoch [20/150] | Train iter [320/391] | acc_top1 = 25.78125 | acc_top5 = 79.68750 | loss = 2.13362
Epoch [20/150] | Train iter [370/391] | acc_top1 = 34.37500 | acc_top5 = 79.68750 | loss = 2.13306
Epoch [20/150] | Train iter [391/391] | acc_top1 = 35.00000 | acc_top5 = 86.25000 | loss = 2.13257

Epoch [20/150] | Validation | acc_top1 = 37.06487 | acc_top5 = 85.49249 | loss = 2.13675

========================================

Epoch [21/150] | Train iter [20/391] | acc_top1 = 35.15625 | acc_top5 = 81.25000 | loss = 2.12662
Epoch [21/150] | Train iter [70/391] | acc_top1 = 32.81250 | acc_top5 = 78.90625 | loss = 2.12622
Epoch [21/150] | Train iter [120/391] | acc_top1 = 35.93750 | acc_top5 = 67.18750 | loss = 2.12356
Epoch [21/150] | Train iter [170/391] | acc_top1 = 29.68750 | acc_top5 = 82.81250 | loss = 2.12227
Epoch [21/150] | Train iter [220/391] | acc_top1 = 40.62500 | acc_top5 = 87.50000 | loss = 2.12153
Epoch [21/150] | Train iter [270/391] | acc_top1 = 32.81250 | acc_top5 = 80.46875 | loss = 2.12107
Epoch [21/150] | Train iter [320/391] | acc_top1 = 32.03125 | acc_top5 = 78.90625 | loss = 2.12100
Epoch [21/150] | Train iter [370/391] | acc_top1 = 42.18750 | acc_top5 = 80.46875 | loss = 2.12049
